,0,1,2
109,14HR05-0504S,16HM10-0604S,16HM09-1204S
110,14HR05-0504S,16HM10-0604S,16HM10-0604S
111,14HR05-0504S,16HM10-0604S,16HM13-0404S
112,14HR05-0504S,16HM10-0604S,16HM17-0304S
113,14HR05-0504S,16HM10-0604S,17HM08-1204S
114,14HR05-0504S,16HM10-0604S,17HM13-0316D
115,14HR05-0504S,16HM10-0604S,17HM13-0316S
116,14HR05-0504S,16HM10-0604S,17HM15-0406S
117,14HR05-0504S,16HM10-0604S,17HM15-0904S
118,14HR05-0504S,16HM10-0604S,17HM15-1004S
119,14HR05-0504S,16HM10-0604S,17ME15-1504S
120,14HR05-0504S,16HM10-0604S,17HM19-0406D
121,14HR05-0504S,16HM10-0604S,17HM19-1684S
122,14HR05-0504S,16HM10-0604S,17HM19-1684D
123,14HR05-0504S,16HM10-0604S,17HM19-2004S
124,14HR05-0504S,16HM10-0604S,17HM19-2004S1
125,14HR05-0504S,16HM10-0604S,23HM22-2804S
126,14HR05-0504S,16HM13-0404S,14HR05-0504S
127,14HR05-0504S,16HM13-0404S,14HR08-0654S
128,14HR05-0504S,16HM13-0404S,14HM08-0504S
129,14HR05-0504S,16HM13-0404S,14HM11-0404S
130,14HR05-0504S,16HM13-0404S,16HM09-1204S
131,14HR05-0504S,16HM13-0404S,16HM10-0604S
132,14HR05-0504S,16HM13-0404S,16HM13-0404S
133,14HR05-0504S,16HM13-0404S,16HM17-0304S
134,14HR05-0504S,16HM13-0404S,17HM08-1204S
135,14HR05-0504S,16HM13-0404S,17HM13-0316D
136,14HR05-0504S,16HM13-0404S,17HM13-0316S
137,14HR05-0504S,16HM13-0404S,17HM15-0406S
138,14HR05-0504S,16HM13-0404S,17HM15-0904S
139,14HR05-0504S,16HM13-0404S,17HM15-1004S
140,14HR05-0504S,16HM13-0404S,17ME15-1504S
141,14HR05-0504S,16HM13-0404S,17HM19-0406D
142,14HR05-0504S,16HM13-0404S,17HM19-1684S
143,14HR05-0504S,16HM13-0404S,17HM19-1684D
144,14HR05-0504S,16HM13-0404S,17HM19-2004S
145,14HR05-0504S,16HM13-0404S,17HM19-2004S1
146,14HR05-0504S,16HM13-0404S,23HM22-2804S
147,14HR05-0504S,16HM17-0304S,14HR05-0504S
148,14HR05-0504S,16HM17-0304S,14HR08-0654S
149,14HR05-0504S,16HM17-0304S,14HM08-0504S
150,14HR05-0504S,16HM17-0304S,14HM11-0404S
151,14HR05-0504S,16HM17-0304S,16HM09-1204S
152,14HR05-0504S,16HM17-0304S,16HM10-0604S
153,14HR05-0504S,16HM17-0304S,16HM13-0404S
154,14HR05-0504S,16HM17-0304S,16HM17-0304S
155,14HR05-0504S,16HM17-0304S,17HM08-1204S
156,14HR05-0504S,16HM17-0304S,17HM13-0316D
157,14HR05-0504S,16HM17-0304S,17HM13-0316S
158,14HR05-0504S,16HM17-0304S,17HM15-0406S
159,14HR05-0504S,16HM17-0304S,17HM15-0904S
160,14HR05-0504S,16HM17-0304S,17HM15-1004S
161,14HR05-0504S,16HM17-0304S,17ME15-1504S
162,14HR05-0504S,16HM17-0304S,17HM19-0406D
163,14HR05-0504S,16HM17-0304S,17HM19-1684S
164,14HR05-0504S,16HM17-0304S,17HM19-1684D
165,14HR05-0504S,16HM17-0304S,17HM19-2004S
166,14HR05-0504S,16HM17-0304S,17HM19-2004S1
167,14HR05-0504S,16HM17-0304S,23HM22-2804S
168,14HR05-0504S,17HM08-1204S,14HR05-0504S
169,14HR05-0504S,17HM08-1204S,14HR08-0654S
170,14HR05-0504S,17HM08-1204S,14HM08-0504S
171,14HR05-0504S,17HM08-1204S,14HM11-0404S
172,14HR05-0504S,17HM08-1204S,16HM09-1204S
173,14HR05-0504S,17HM08-1204S,16HM10-0604S
174,14HR05-0504S,17HM08-1204S,16HM13-0404S
175,14HR05-0504S,17HM08-1204S,16HM17-0304S
176,14HR05-0504S,17HM08-1204S,17HM08-1204S
177,14HR05-0504S,17HM08-1204S,17HM13-0316D
178,14HR05-0504S,17HM08-1204S,17HM13-0316S
179,14HR05-0504S,17HM08-1204S,17HM15-0406S
180,14HR05-0504S,17HM08-1204S,17HM15-0904S
181,14HR05-0504S,17HM08-1204S,17HM15-1004S
182,14HR05-0504S,17HM08-1204S,17ME15-1504S
